Sr. No,Name,Description,Mood,Tags,Ingredient,Recipe,Concentrate,IMG
63,Cold Mocha Kappi ,Rich chocolate blended with bold chicory and creamy milk ,"Chocolatey, Creamy & Passionate ","#ChicoryMocha
#Chocolate
#MochaCoffee
#Milk
#Kappi","60 ml Kappi concentrate
15 ml chocolate syrup
170 ml milk 
ice cubes ","1. Fill glass with ice cubes 
2. Add chocolate syrup 
3. Pour cold milk 
4. Slowly add Chilld Kappi concentate 
5. Stir and serve",Kappi Concentrate ,
72,Cold Kappi,A smooth coffee made in the traditional south Indian style. Enjoy a rich coffee flavor with a silky finish ,"Smooth, Strong &
Creamy everyday staple","#ColdCoffee
#Strong
#Sweet
#MilkSugar
#Kappi","75 ml Kappi concentrate 
75 ml milk 
15 ml sugar syrup 
ice cubes ","1. Fill glass with ice cubes 
2. Add 15 ml sugar syrup 
3. Pour 75 ml dairy milk 
4. Slowly add 75 ml Chilld Kappi concentrate to create a layered effect
5. Stir gently before drinking",Kappi Concentrate ,
,Cold Brew Martini,The classic coffee cocktail in a smooth cold brew avatar,"Heady, bitter-sweet & elegant","#EspressoMartini
#CoffeeCocktail
#Vodka
#Classic
#Bold
","75 ml classic or bold concentrate 
60 ml vodka
60 ml coffee liqueur 
10 ml simple syrup  
2 dashes of chocolate bitters  
ice cubes","1. Fill ice cubes in a shaker 
2. Add vodka 
3. Pour coffee liqueur 
4. Add Chilld bold concentrate
5. Add simple (sugar) syrup
6. Shaker to mix well
7. Pour into a martini glass over a strainer
8. Garnish with chocolate bitters","Classic Concentrate 
Bold Concentrate",
8,Cold Brew Mocha,"Smooth cold brew, deep cacao and natural jaggery balanced with cold milk - heavenly","Chocolatey, Smooth
& dessert-drink","#Mocha
#Chocolate
#milk
#Jaggery
#Bold","75 ml Bold concentrate 
170 ml dairy milk
20 gm jaggery syrup + cacao powder 
ice cubes","1. Fill glass with ice cubes
2. Add jaggery syrup +cacao powder
3. Pour milk 
4. Add Chilld bold concentrate 
5. Stir lightly for rich mocha texture",Bold concentrate ,
1,Golden Jaggery Velvet ,Smooth n sweet cold brew sweetened with jaggery & a frothy creamy layer,"Smooth, Sweet 
& Velvety ","#Jaggery
#Milk
#OatMilk
#Vegan
#Bold","75 ml Chilld Bold concentrate 
170 ml milk or oat milk
15 ml jaggery syrup
ice cubes
","1. Fill glass with ice 
2. Add jaggery syrup
3. Pour cold milk/oatmilk
4. Add Chilld Bold Concentrate 
5. Stir lightly",Bold concentrate ,
3,Salted caramel Jaggery,Bold and creamy cold brew with salted caramel richness,"Strong, Sweet &
Creamy ","#SaltedCaramel
#Sweet
#CreamyColdBrew
#Milk
#OatMilk
#Bold","75 ml Chilld Bold concentrate
20 gm jaggery+ salted caramel syrup 
170 ml milk or oat milk 
ice cubes","1. Fill glass with ice cubes
2. Add jaggery+salted caramel syrup
3. Pour coldmilk/oatmilk 
4. Slowly add chilld bold concentrate
5. Stir lightly for smooth texture
serve chilled ",Bold concentrate ,
5,Honey Spiced latte,"Smooth and aromatic cold brew latte with natural honey sweetness

","Aromatic, Indulgent & Nostalgic","#Honey
#SpicedLatte
#Bold","75 ml bold cold brew concentrate
15 ml honey+ spices syrup
170 ml dairy milk or almond milk or oat milk
ice cubes ","1. Fill glass with ice cubes
2. Add honey + spices syrup
3. Pour milk/almond milk/oat milk 
4. Slowly add chilld bold concentrate
5. Stir lightly for smooth texture serve 
chilled",Bold concentrate ,
#              9,Ice Mocha,Rich and creamy iced mocha with smooth cold brew & deep cacao flavor,"Chocolatey, Smooth
& Refreshing ","#IceMocha
#ChocolateCoffee
#OatMilk
#Jaggery
#Bold","75 ml Chilld Bold concentrate 
20 gm jaggery syrup + cacao powder 
170 ml oat milk 
ice cubes","1. Fill glass with ice cubes
2. Add jaggery syrup +cacao powder
3. Pour cold oat milk 
4. Slowly add chilld bold concentrate 
5. Stir lightly for rich mocha texture 
serve chilled",Bold concentrate ,
33,Cinnamon latte ,Smooth and aromatic cold brew latte with warm cinnamon spice,"Warm, Spiced &
Creamy ","#CinnamonLatte
#SpiceCoffee 
#Milk
#Bold","90 ml Chilld Bold concentrate 
15 ml cinnamon syrup
120 ml dairy milk
 ice cubes ","1. Fill glass with ice cubes 
2. Add cinnamon syrup 
3. Pour cold milk 
4. Slowly add chilld bold concentrate 
5. Stir lightly for smooth texture and serve chilled ",Bold concentrate ,
22,Hazelnut Iced-latte ,Smooth and creamy cold brew latte infused with rich hazelnut aroma,"Nutty, Creamy &
Pampered","#HazelnutLatte
#Milk
#Sweet
#Bold","75 ml Chilld Bold concentrate 
15 ml sugar syrup 2-3 drops hazelnut essence
70-90 ml dairy milk
ice cubes","1. Fill glass with ice cubes 
2. Add sugar syrup and hazelnut essence 
3. Pour chilled milk 
4. Slowly add chilld bold concentrate 
5. Stir lightly for smooth texture and serve chilled",Bold concentrate ,
35,Cold Brew Float,"A smooth and sparkling cold brew drink with sweet vanilla notes

","Smooth, Sweet &
Sparkling ","#VanillaFloat 
#Soda
#Sparkling
#Classic","75 ml Chilld Classic concentrate
5 ml vanilla essence 20 ml sugar syrup 
170 ml soda
ice cubes","1. Fill glass with ice cubes 
2. Add vanilla essence and sugar syrup 
3. Pour chilled soda slowly 
4. Slowly add Chilld classic concentrate on top for a floating effect 
5. Stir gently if desired and serve chilled ",Classic Concentrate ,
